date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,Project,Companies,Theme
2011-08-01,,Honda Recalls 2.5 Million Vehicles for Transmission Software Updates,"Affected models included Accords, CR-Vs and Elements. 1.5 Million recalls were in the US.",2500000,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/advanced-cars/honda-recalls-936000-more-vehicles-for-electrical-and-software-fixes,,,cars
2014-01-01,,"GM Recalls 370,000 Pickup Trucks for Software Update to Reduce Fire Risk",The recall hits 2014 Chevrolet Silverado and GMC Sierra models.,370000,,,,,,,,,US,The Americas,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/gm-recalls-370-000-pickup-trucks-for-software-update-to-reduce-fire-risk,,,cars
2014-02-01,,Toyota Recalls 1.9 Million Cars to Fix Software Flaw,Toyota software bug in power converter might cause car to slow down and stop unexpectedly.,1900000,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/toyota-recalls-19-million-prius-hybrids-over-software-flaw,,Toyota,cars
2014-03-01,,Nissan Recalls Nearly 1 Million Cars to Fix Air Bag Control Software,"The software installed on the vehicles may incorrectly determine that the passenger seat is empty when it is, in fact, occupied.",989708,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/safety/nissan-recalls-nearly-1-million-cars-for-airbag-software-fix,,Nissan,cars
2005-03-01,8072387,Hudson Bay Co. ERP System Problems Contribute to Losses,Losses reached $10 Million.,,,,,,,1.0E7,$,CAD,Canada,The Americas,Operational Failure,Commercial,,,Retail,http://www.itbusiness.ca/news/hudsons-bay-cio-explains-big-ticket-it-problems/7791,,"Microsoft, IBM, Oracle",ERP
2008-07-01,4.7E7,Levi Strauss Reports 2nd Quarter Profits Hurt by ERP Integration That Stopped Orders for a Week,The cost of issue was $47 Million.,,,1,weeks,168,,4.7E7,$,USD,US,The Americas,Operational Failure,Commercial,,,Retail,http://www.accountingweb.com/topic/technology/levi-strauss-blames-profit-drop-sap-enterprise-software-system,,"Deloitte, SAP",ERP
2010-05-01,80000000,Waste Management and SAP Settle Lawsuit for $80 Million Over Failed ERP Project,The estimated cost was $80 million - this is the amount SAP was suing its insurer Swiss Re for to cover the settlement.,,,,,,,80000000,$,USD,US,The Americas,Project Failure,Commercial,,,Unknown,http://www.computerworld.com/article/2506049/data-center/sap-sues-insurer-over-waste-management-lawsuit-settlement.html; http://www.computerworld.com/article/2536212/enterprise-applications/waste-management-sues-sap-over-erp-implementation.html; http://www.infoworld.com/article/2648303/applications/waste-management-sues-sap-over-erp-implementation.html; ,,"SAP, Waste Management","ERP, project problems"
2010-11-01,3.3E7,"Portland, Oregon's Financial System Late and Over-budget","The original plan was $14 Million and 14-months to develop. Instead, it took $47 Million and 30-months.",,,,,,,3.3E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/city-of-portland-financial-and-hrpayroll-project-overbudget-by-over-30-million,,SAP,ERP
2012-11-01,1030000000,US Air Force Cancels $1 Billion Expeditionary Combat Support System (ECSS),Air Force admits that effort produced no significant military capability,,,,,,,1030000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/aerospace/military/us-air-force-blows-1-billion-on-failed-erp-project,,,"ERP, project termination/cancellation"
2013-11-01,200000000,Bridgestone Sues IBM for $600 Million over Failed ERP System,IBM says all the problems are Bridgestone's.,,,,,,,200000000,$,USD,US,The Americas,Project Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/bridgestone-sues-ibm-for-fraud-in-600-million-lawsuit-over-failed-it-implementation,,IBM,ERP
2014-11-01,1100000000,USAF $2.2 Billion Defense Enterprise Accounting Management System Enters Last Phase,The projecet is now scheduled to launch three years late (in 2017) and is $1.1 Billion over budget.,,,,,,,1100000000,$,USD,US,The Americas,Operational Failure,Government,National,Defense and Veterans Affairs,,http://defensesystems.com/Articles/2014/11/04/Air-Force-Accenture-DEAMS-final-phase.aspx,,,ERP
2005-02-01,,UK National Air Traffic Control System Crashes,Numerous flights were delayed.,,,33,minutes,0.505,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.computing.co.uk/ctg/news/1857231/more-failures-nats-west-drayton-control-centre,,,airport/port/customs systems
2005-06-01,649000000,United Airlines Finally Abandons the Automated Baggage-handling System at Denver International Airport,The cost of the abandoned system was $230 million. Another $70 million was spent on a conventional baggage system that replaced it. And $340 million more was paid in interest. It will cost $9 million over four years to demolish and cart away system the system.,,,,,,,649000000,$,USD,US,The Americas,Project Failure,Commercial,,,Air Transport,http://www.nytimes.com/2005/08/27/national/27denver.html?pagewanted=all.&_r=0; http://www.computerworld.com/article/2556725/it-project-management/united-axes-troubled-baggage-system-at-denver-airport.html; http://spectrum.ieee.org/riskfactor/computing/it/dia_the_final_end_of_the_autom; http://www.vaildaily.com/article/20080114/NEWS/762092730,,,"airport/port/customs systems, project termination/cancellation"
2005-08-01,,Virus Patch Takes Down US-Visit Border Screening System,There were delays at ports of entry for most of the day.,,,18,hours,18,,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://archive.wired.com/science/discoveries/news/2006/04/70642?currentPage=all,,,airport/port/customs systems
2005-08-01,,UK National Air Traffic Control System Crashes,Numerous flights were delayed.,,,20,minutes,0.3333333333,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.informationweek.com/tech-workers-still-trying-to-solve-heathrow-computer-outage/d/d-id/1035497?,,,airport/port/customs systems
